user,staked,unstaked,total,factor
0x0b4d70ad6d38c8ad9dcbcfb2049ae3108ce875f9,0,0,0,0
0x0b4ecf28692614c10deb7d8579f4878be3fd2de9,2,0,2,100
0x0b5d2f7d8b1cdb0974e3aa056f94ca98f139f369,1,0,1,100
0x0b7321e1d5328a17fe2ab138d17be6151e0d6bc6,1,2,3,33
0x0bb43efc1a613658177d8f67ccf9cffd8b25b906,1,0,1,100
0x0be8f48bac8a60498a2ca1b5d40ea76c7dd8f1ce,2,0,2,100
0x0bece63501fc28cb3a1e7e99e385a8c79c47d08e,4,0,4,100
0x0c68ac7f8a51c6118aa4edb245615188ac81cfb3,12,0,12,100
0x0c872ce676fcfaf6e8701518f5a1a67f9f6d6402,4,0,4,100
0x0cead33eb6adf4860b6b8f66687f51567e111973,3,0,3,100
0x0de6886471e3d3adbb8643376bef78b5d7a82ee7,1,0,1,100
0x0df8d763cf1afc313e982c463a9b3eefb2bb02be,1,0,1,100
0x0e05fc644943aae89dd3fec282c3f86431a7d090,5,0,5,100
0x0e4b3c98f27146b35f8c243e3dbc1573208b24e7,44,0,44,100
0x0eb056847392ae37d58019ea355c4dc8fb5132a8,2,0,2,100
0x0f1cc91b9a809cc07e1a0257d057da773787bc94,3,0,3,100
0x0ff997a58b58dcbee03132b5884c181e97423f98,15,0,15,100
0x104c5c75f4295b55e5aac5d2cd9aeb7d774a189b,3,0,3,100
0x1082db3bd6d7413cf6bb4cb6bde80fab3b739a1d,3,0,3,100
0x10e92beb1c4cc2fa107314d4cfe78240e8cc1fc1,4,0,4,100
0x10eae186b519a172832ebe2a6ead27dc403863f2,27,0,27,100
0x10ecb6312f28280cf42926e4a052fbbae34cf37d,1,0,1,100
0x10f043fd81bb740253f64394a4781e48ae9e2006,2,0,2,100
0x10ff96098f0093ecc17f810879169165fce269e2,7,0,7,100
0x111b46246ba9bf46ef15dca39ab7775897271951,9,0,9,100
0x11420153f1247554aaec76629497849a683a058b,0,4,4,0
0x115017f504a791d7def5dcba769f8072f79579c0,0,0,0,0
0x117644bf2d1d10ac48d18efae6963d9e4fa4baf1,0,1,1,0
0x1185513cdcd09cefafa480808e50afa60ecd92e1,7,0,7,100
0x119e3224ab7e7bf8777e0b4adc0612417234c9e1,1,0,1,100
0x11b3b975115ee3274bfeef68d70ff97e9ea3bd07,2,0,2,100
0x11c75d11351ebd46914b574700e0b635e907aa43,0,0,0,0
0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,1,0,1,100
0x1226cf8f9879fee449fd52fd49b436e65d1e69f2,11,0,11,100
0x122c5acb22af3ba3d63243a7c6aeb75b149c3186,12,0,12,100
0x12459284253a0fb550a3d8de3debae90dd72aacc,1,0,1,100
0x126298d5e5d969772b08ecc969c77dcdd7f0d326,1,0,1,100
0x12962696ec63c303d4840b6e805291e79591d070,9,0,9,100
0x12a7a32b12de96f7f80279dc06c46c0de149d0ec,2,0,2,100
0x12b8148a920f658d8e77e259eefbc624260b5afc,1,0,1,100
0x12f243b1bb39094a61ef15ffdd499f441b4a11e9,3,0,3,100
0x1350804da29d56eb3ec41189d8a7168fc017401a,4,0,4,100
0x1374a80eb56c140e688796cc38f7c5cf60da365e,2,0,2,100
0x138d049a34d20b1997f9f057b03b7b9cc97a5b9d,3,0,3,100
0x13c512aedfe76054f37a71c629d9c195338816a3,1,0,1,100
0x14200888c9b85b4f1e589de4be12e46916b7af31,3,0,3,100
0x14634c4d90bed083e97eb4593618f7aab9ca7d44,4,0,4,100
0x148afbce5ce5417e966e92d2c04bd81d8cb0e04e,15,0,15,100
0x148b91e60b106c5a561c269f8aee1b71b3b8bca3,1,0,1,100
0x1496c9fcfce57efe3252ddf14c33b99839986806,30,0,30,100
0x14ce66572b2732fade7feeeb133f13f524498087,11,0,11,100
0x14e942eab884e47a940768f4c7e5225089e51001,1,0,1,100
0x14fc0829cedcb20e133d524d767ba1bc8b7bb71e,17,0,17,100
0x154500ccb9cc55a0e390966aa53fe10e7da1047d,3,0,3,100
0x159b1792eded53bf56945ab41fd534e691f21c35,2,0,2,100
0x15a8bead7f8fe542b5aebf0ccca2f06b1a9a58e3,1,0,1,100
0x16015075cecec68cd1f9bb6c8df185916bcb866c,1,0,1,100
0x1614bb9c702465ab1f3b44af6b83146183182297,2,0,2,100
0x161f63b270366e2088053acbde67b5e84b1b6b34,3,0,3,100
0x1669cc3c268acb94dd0a05941d3788ce3d967511,2,0,2,100
0x16906fe850dd6641abf46eaf887b4e8ce0ba9fa1,0,1,1,0
0x1697e1072d8d4d299468bf1d96c0375391fae8ff,6,0,6,100
0x169b8e5784df150e0dec0f26059b3a18272ef629,1,0,1,100
0x16a7aa64872ff37a456de74b3783fbd4df3bd6d0,2,0,2,100
0x171b19d7cc01f0862331f92b81e5b015a7d21342,6,0,6,100
0x175052854d6b4a1fca26340b1218b54f74d0f0e4,3,0,3,100
0x17553ae6ee2c014f340bd89cf120572a5aba4fb2,4,4,8,50
0x1768ae2e04aefa9a8c65321d1fb568d71ab3eb32,1,0,1,100
0x179d5d9c1960c26c5c620d37cbf892a0084396d4,4,0,4,100
0x17d7f113b9cc2123810e644204fc4a17d14cb170,1,0,1,100
0x184b9757aef40cf051e0fe4242a69362b39c3915,1,0,1,100
0x187618b146efa66b666793ae82fd5c9c4927adfc,3,0,3,100
0x189c8866272b2ef847e1fa3ad1cdfe3dd13fd090,3,0,3,100
0x18a6e9701e7aa0f272ae617097247b49cccfa799,0,0,0,0
0x1993d3900ffdba309cec72a5188c7f165ec263e8,3,0,3,100
0x19dfe4f4af813dc8a22476bea1371e1f0180d93f,0,1,1,0
0x19f6b231acfedcec477831abe7ca035f2a014f92,1,0,1,100
0x1a69b7a6347e95804af8a8c138a0d26d65a3150b,2,0,2,100
0x1ab817f9d47353053eeed5ae1fb7b937de4371b2,1,0,1,100
0x1ab895797d9aa35173705c840c35f465ea7186e0,6,0,6,100
0x1bc3e2c44e0b2dabb1b06a1890273571825d3e03,1,0,1,100
0x1bc882bf7d71123174bcc2f9f3a3b6a80e41e357,7,0,7,100
0x1bf058ccb06a34cfdd1409337380aedea6a0eddf,2,0,2,100
0x1c08b11009ff9cff1de422de4627884c9baf2605,1,0,1,100
0x1c0ab915bdea934297dea566c3589425e2153c51,1,0,1,100
0x1c94cf06951bd77246f32d9a38bd6cba40b7cd2c,1,0,1,100
0x1c99c896148553a7872a3aed4c849412849b3d3c,0,1,1,0
0x1c9b304a473a3f0745662fdbafd22cb1f5a0f4e0,17,0,17,100
0x1cbb8f67093996cc9bac4e704200402603146fdf,5,0,5,100
0x1d5ba0df2c11d0d19896fa6f4e6d6ae779d68dfc,16,0,16,100
0x1e0b2100e545651912c61025f56b3a9cc65a9199,3,0,3,100
0x1e5c4dedb33e5d5c04c01115947c1bb04880ee4f,33,0,33,100
0x1e89b0ebf9cb2c33479c007d6625ade3f16a9dcc,0,0,0,0
0x1eb9c188cd7bfc599aae13c6d4ddbaa55ba24e73,3,0,3,100
0x1ed3a2f66605ac6cfaf586735044e8abf29f3d8a,0,0,0,0
0x1ee4abe61e330ab8d5f02480d2384a7f2ffdfb19,1,0,1,100
0x1f0aa263a437fd569cc108f1f08d79a9ddba2f95,2,0,2,100
0x1f8a597be8377516b134ff97fff8b1a84138f83a,1,0,1,100
0x1f906ab7bd49059d29cac759bc84f9008dbf4112,7,0,7,100
0x1f93669cc3a85f4d8e093ff5e00ad462139aed47,56,0,56,100
0x1fd4b992fff3f5058ee1860ad618bc24ba6f9809,2,0,2,100
0x2015964af35590073bd61f3f3738bfa9f080347f,1,1,2,50
0x20361ff305b45f18a7edad8c8775dbdb81665f50,1,0,1,100
0x207421ade4d6b5e693448bc0357032f009aa1351,0,1,1,0
0x207b472f26198f42d1e4e6bb76fa1a998019fa6a,28,0,28,100
0x207ffbea91ce2edafff398558e31cded3f9f76b6,6,0,6,100
0x2083370bcf334d50ca7c6e06e969481365b92e21,4,0,4,100
0x20cb6ae10d7c23986d525c767ad4b39d4dfdf32d,3,0,3,100
0x20cfb33b51d1f9414e313f0c54547613b2a491b6,1,0,1,100
0x20f8b74d4ff56c256ce72d1f350567d9ef8ede51,1,0,1,100
0x211d18bc603ee92642ffc62dc4198920435eba4f,1,0,1,100
0x211db282704d8b184450c123950c4f45ffa95383,10,0,10,100
0x2170a7405275f4bb7062acafa4606607185b04cc,2,0,2,100
0x217e7b4534548dc723c83c8ca00d1fa4d7aadb68,10,0,10,100
0x21d632e53c4961f852aa1b3de252854951f81591,3,0,3,100
0x221073d2952e63794e24798c543960ac7611671e,20,0,20,100
0x223044e4b1f4c2ce277e0f20d22f7d4a746e8652,3,0,3,100
0x223a35433f3f87ef302fdfccd77777dd0cd51f80,19,0,19,100
0x223c2a0d47be97a39379c35fac4444a415195d38,2,0,2,100
0x223c2b41bf1157dc201565ecb64e4ea226f39e55,2,0,2,100
0x2243c98e8b0706333736b719878a777ea703eefa,2,0,2,100
0x22657fa9507662bb007f0ea905e15ec31ea85d3e,3,0,3,100
0x227e98fcee30746d6c1d73d85410300f6a38bca4,1,0,1,100
0x22889f8c74ae7a4dad0f304c8ab84da11740b963,1,0,1,100
